Indicator;Symbol;Direction;ATRMult;Trades;WinRate;FinalEquity;PnL;PnL%;MaxDrawdown;HTF
kama;SUI/EUR;Long;1.5;166;12.650602409638553;13926.387741420254;-73.61225857974568;-0.5258018469981834;224.39323068132398;6h
kama;SUI/EUR;Long;2.0;166;18.072289156626507;14408.76655624376;408.7665562437596;2.919761116026854;87.7120706958176;6h
kama;TNSR/USDC;Long;None;158;20.88607594936709;14430.889392756819;430.8893927568188;3.07778137683442;70.3660494783635;6h
kama;TNSR/USDC;Long;1.0;158;6.329113924050633;13641.817050677519;-358.18294932248136;-2.558449638017724;358.52134696185567;6h
kama;TNSR/USDC;Long;1.5;158;15.822784810126583;14135.724753031882;135.72475303188185;0.969462521656299;120.04904475882722;6h
kama;TNSR/USDC;Long;2.0;158;20.88607594936709;14372.099716130993;372.09971613099333;2.657855115221381;86.78902277708403;6h
kama;ZEC/USDC;Long;None;135;24.444444444444443;14480.268376708358;480.2683767083581;3.430488405059701;63.30015714713045;6h
kama;ZEC/USDC;Long;1.0;135;5.185185185185185;13468.837329729356;-531.1626702706435;-3.7940190733617394;532.0619167157038;6h
kama;ZEC/USDC;Long;1.5;135;14.074074074074074;14149.382862430157;149.38286243015682;1.0670204459296915;121.71186197378847;6h
kama;ZEC/USDC;Long;2.0;135;20.0;14350.130519544184;350.1305195441837;2.500932282458455;117.44011861728904;6h
psar;BTC/EUR;Long;None;408;25.98039215686275;13549.060002060532;-450.9399979394675;-3.220999985281911;504.6868595882697;6h
psar;BTC/EUR;Long;1.0;408;17.892156862745097;12135.373533302594;-1864.6264666974057;-13.318760476410041;1892.4395464283807;6h
psar;BTC/EUR;Long;1.5;408;24.754901960784316;12995.754447111414;-1004.2455528885857;-7.173182520632755;1050.4162593363817;6h
psar;BTC/EUR;Long;2.0;408;25.98039215686275;13432.169561313318;-567.8304386866821;-4.055931704904872;614.3461086289299;6h
psar;ETH/EUR;Long;None;412;27.184466019417474;13557.467022393743;-442.5329776062572;-3.160949840044694;495.72188172240567;6h
psar;ETH/EUR;Long;1.0;412;16.74757281553398;12123.381516362018;-1876.6184836379816;-13.404417740271295;1883.7348741445949;6h
psar;ETH/EUR;Long;1.5;412;25.0;13050.719936787082;-949.2800632129183;-6.780571880092273;979.542021084555;6h
psar;ETH/EUR;Long;2.0;412;26.699029126213592;13444.308580916748;-555.6914190832522;-3.96922442202323;608.7200868248256;6h
psar;XRP/EUR;Long;None;412;28.640776699029125;13570.46466817957;-429.53533182043066;-3.068109513003076;479.4298543190962;6h
psar;XRP/EUR;Long;1.0;412;21.601941747572813;12196.79014331859;-1803.2098566814093;-12.880070404867208;1813.904497392643;6h
psar;XRP/EUR;Long;1.5;412;27.427184466019416;13047.962584794765;-952.0374152052354;-6.800267251465968;962.6094777243379;6h
psar;XRP/EUR;Long;2.0;412;28.155339805825243;13483.569428059878;-516.4305719401218;-3.6887897995722985;553.6610679996666;6h
psar;LINK/EUR;Long;None;403;27.543424317617866;13583.967338111324;-416.03266188867565;-2.9716618706333975;474.78607951089;6h
psar;LINK/EUR;Long;1.0;403;17.617866004962778;12180.301990161779;-1819.698009838221;-12.997842927415865;1825.6150762047419;6h
psar;LINK/EUR;Long;1.5;403;25.806451612903224;13016.846798138324;-983.1532018616763;-7.022522870440545;1027.1842889355758;6h
psar;LINK/EUR;Long;2.0;403;27.29528535980149;13407.704385305367;-592.2956146946326;-4.2306829621045186;650.7144275270002;6h
psar;LUNC/USDT;Long;None;404;28.960396039603957;13594.506422369543;-405.49357763045737;-2.89638269736041;480.8388089244527;6h
psar;LUNC/USDT;Long;1.0;404;19.05940594059406;12142.032544678394;-1857.9674553216064;-13.271196109440044;1867.7644118110948;6h
psar;LUNC/USDT;Long;1.5;404;27.722772277227726;13179.265680528633;-820.7343194713667;-5.862387996224048;874.2201143646926;6h
psar;LUNC/USDT;Long;2.0;404;28.71287128712871;13468.771277193557;-531.2287228064433;-3.794490877188881;592.9102189392579;6h
psar;SOL/EUR;Long;None;396;26.767676767676768;13600.52757327851;-399.4724267214897;-2.853374476582069;457.6389617877958;6h
psar;SOL/EUR;Long;1.0;396;17.67676767676768;12088.543918926967;-1911.4560810730327;-13.653257721950233;1923.7088284760957;6h
psar;SOL/EUR;Long;1.5;396;25.5050505050505;13054.749268995012;-945.2507310049878;-6.751790935749913;980.7586054276981;6h
psar;SOL/EUR;Long;2.0;396;26.767676767676768;13494.337484383164;-505.66251561683566;-3.611875111548826;561.4189463227776;6h
psar;SUI/EUR;Long;None;410;25.853658536585368;13589.251362061746;-410.7486379382535;-2.9339188424160967;472.70795280324637;6h
psar;SUI/EUR;Long;1.0;410;17.317073170731707;12123.242774758746;-1876.7572252412538;-13.405408751723241;1905.8153498911906;6h
psar;SUI/EUR;Long;1.5;410;24.634146341463413;12998.93046138735;-1001.0695386126499;-7.150496704376071;1040.0788517564197;6h
psar;SUI/EUR;Long;2.0;410;25.609756097560975;13395.951467990884;-604.0485320091157;-4.314632371493683;655.661183322005;6h
psar;TNSR/USDC;Long;None;421;24.94061757719715;13563.518817430662;-436.48118256933776;-3.1177227326381267;495.1089481923009;6h
psar;TNSR/USDC;Long;1.0;421;17.102137767220903;12134.370137165513;-1865.6298628344866;-13.325927591674905;1880.5666969945432;6h
psar;TNSR/USDC;Long;1.5;421;23.040380047505938;12947.825362000707;-1052.1746379992928;-7.515533128566378;1090.1850828406768;6h
psar;TNSR/USDC;Long;2.0;421;24.94061757719715;13430.133086920472;-569.8669130795279;-4.070477950568057;628.2820643878495;6h
psar;ZEC/USDC;Long;None;409;26.405867970660147;13566.734219943162;-433.2657800568377;-3.094755571834555;499.4216153272082;6h
psar;ZEC/USDC;Long;1.0;409;19.80440097799511;12136.105695459253;-1863.8943045407468;-13.313530746719621;1907.6095627294708;6h
psar;ZEC/USDC;Long;1.5;409;25.4278728606357;13062.315115241603;-937.684884758397;-6.697749176845693;1000.954506326143;6h
psar;ZEC/USDC;Long;2.0;409;26.161369193154034;13373.30501671418;-626.6949832858209;-4.476392737755863;692.5440060382225;6h
mama;BTC/EUR;Long;None;187;14.973262032085561;14373.253153258287;373.25315325828706;2.666093951844908;85.88650152381888;6h
mama;BTC/EUR;Long;1.0;187;2.6737967914438503;13434.441770915879;-565.5582290841212;-4.039701636315152;605.1709272224307;6h
mama;BTC/EUR;Long;1.5;187;10.16042780748663;14128.272013560667;128.2720135606669;0.9162286682904778;149.27321236188618;6h
mama;BTC/EUR;Long;2.0;187;13.368983957219251;14324.363309729046;324.3633097290458;2.3168807837788985;93.08885785081293;6h
mama;ETH/EUR;Long;None;195;14.358974358974358;14473.707355480588;473.7073554805884;3.383623967718488;104.27323228522982;6h
mama;ETH/EUR;Long;1.0;195;5.641025641025641;13678.071268781121;-321.92873121887897;-2.299490937277707;492.04384677038615;6h
mama;ETH/EUR;Long;1.5;195;11.282051282051283;14166.23433308642;166.23433308642052;1.1873880934744323;149.66210314885575;6h
mama;ETH/EUR;Long;2.0;195;13.333333333333334;14426.562053402384;426.56205340238375;3.0468718100170267;103.93358240050657;6h
mama;XRP/EUR;Long;None;215;10.69767441860465;14330.969629067271;330.96962906727094;2.364068779051935;108.38936038170868;6h
mama;XRP/EUR;Long;1.0;215;5.116279069767442;13308.965790037702;-691.0342099622976;-4.93595864258784;770.0828607661733;6h
mama;XRP/EUR;Long;1.5;215;8.837209302325581;13791.987159633658;-208.01284036634206;-1.485806002616729;370.62349613454353;6h
mama;XRP/EUR;Long;2.0;215;10.69767441860465;14301.255470829015;301.2554708290154;2.1518247916358244;121.151914763268;6h
mama;LINK/EUR;Long;None;184;11.41304347826087;14438.443174345053;438.4431743450532;3.131736959607523;89.73821280571792;6h
mama;LINK/EUR;Long;1.0;184;3.804347826086957;13551.741078592544;-448.258921407456;-3.2018494386246856;522.6972711043654;6h
mama;LINK/EUR;Long;1.5;184;9.239130434782608;14029.313507504537;29.313507504537483;0.209382196460982;235.2627314284673;6h
mama;LINK/EUR;Long;2.0;184;10.326086956521738;14145.921528709805;145.921528709805;1.042296633641464;208.0848771099827;6h
mama;LUNC/USDT;Long;None;203;15.270935960591133;14466.791855892578;466.7918558925776;3.3342275420898395;102.6358229572379;6h
mama;LUNC/USDT;Long;1.0;203;4.926108374384237;13462.163317990853;-537.8366820091469;-3.841690585779621;620.375398360171;6h
mama;LUNC/USDT;Long;1.5;203;11.330049261083744;13939.997086883823;-60.0029131161773;-0.42859223654412354;266.0267850191867;6h
mama;LUNC/USDT;Long;2.0;203;14.285714285714285;14368.945230259122;368.9452302591217;2.635323073279441;122.42017480434697;6h
mama;SOL/EUR;Long;None;198;14.14141414141414;14334.168684841547;334.16868484154656;2.3869191774396183;96.22877203581265;6h
mama;SOL/EUR;Long;1.0;198;1.5151515151515151;13134.349281520035;-865.6507184799648;-6.183219417714034;857.6790724449766;6h
mama;SOL/EUR;Long;1.5;198;9.595959595959595;13603.983977650114;-396.01602234988604;-2.8286858739277574;394.7261346444229;6h
mama;SOL/EUR;Long;2.0;198;12.626262626262626;14028.196725041515;28.196725041514583;0.2014051788679613;235.85570102556812;6h
mama;SUI/EUR;Long;None;210;15.238095238095239;14391.648833813624;391.64883381362415;2.7974916700973154;99.91760991050069;6h
mama;SUI/EUR;Long;1.0;210;5.714285714285714;13519.002056878091;-480.997943121909;-3.4356995937279216;580.0678988707896;6h
mama;SUI/EUR;Long;1.5;210;11.904761904761903;14108.314473051218;108.31447305121765;0.7736748075086974;150.59627806583558;6h
mama;SUI/EUR;Long;2.0;210;14.285714285714285;14263.868028574414;263.868028574414;1.8847716326743855;122.36725611175825;6h
mama;TNSR/USDC;Long;None;178;12.921348314606742;14404.536080463293;404.5360804632928;2.889543431880663;81.36269908911163;6h
mama;TNSR/USDC;Long;1.0;178;2.8089887640449436;13639.695189018963;-360.304810981037;-2.573605792721693;352.6618152834835;6h
mama;TNSR/USDC;Long;1.5;178;7.303370786516854;13920.46860605291;-79.53139394709069;-0.5680813853363621;176.6960327034758;6h
mama;TNSR/USDC;Long;2.0;178;11.797752808988763;14224.875607227941;224.87560722794115;1.6062543373424367;119.49339274251724;6h
