Zeit;Entry;ExitZeit;ExitPreis;Stake;Fees;ExitReason;PnL (USD);Equity;Direction;MinHoldDays;MaxHoldBars;BarsHeld
2025-09-07 14:00:00+02:00;3669,4296875;2025-09-07 19:00:00+02:00;3649,457275390625;2910,984942924747;5,821969885849494;Time exit (5 bars);10,022288180283162;14564,947002804018;Short;2;5;5
2025-09-07 23:00:00+02:00;3661,02099609375;2025-09-08 00:00:00+02:00;3677,9792566018377;2912,9894005608035;5,825978801121607;ATR stop;-19,319272929922455;14545,627729874095;Short;2;5;1
2025-09-08 03:00:00+02:00;3663,99609375;2025-09-08 05:00:00+02:00;3685,6983270293676;2909,125545974819;5,818251091949638;ATR stop;-23,049306917966316;14522,578422956129;Short;2;5;2
2025-09-08 06:00:00+02:00;3669,0830078125;2025-09-08 11:00:00+02:00;3680,33740234375;2904,5156845912256;5,809031369182452;Time exit (5 bars);-14,71822349347898;14507,86019946265;Short;2;5;5
2025-09-09 00:00:00+02:00;3664,09130859375;2025-09-09 05:00:00+02:00;3661,187744140625;2901,57203989253;5,80314407978506;Time exit (5 bars);-3,503828717896124;14504,356370744754;Short;2;5;5
2025-09-15 01:00:00+02:00;3932,450439453125;2025-09-15 06:00:00+02:00;3965,464535485735;2900,8712741489508;5,801742548297901;ATR stop;-30,155423363232998;14474,200947381521;Short;2;5;5
2025-09-15 08:00:00+02:00;3951,66650390625;2025-09-15 13:00:00+02:00;3854,747314453125;2894,840189476304;5,789680378952609;Time exit (5 bars);65,2096219364207;14539,410569317943;Short;2;5;5
2025-09-15 21:00:00+02:00;3820,115234375;2025-09-16 02:00:00+02:00;3834,225341796875;2907,8821138635885;5,815764227727177;Time exit (5 bars);-16,556416401660115;14522,854152916283;Short;2;5;5
2025-09-16 09:00:00+02:00;3827,141845703125;2025-09-16 14:00:00+02:00;3814,421142578125;2904,570830583257;5,809141661166514;Time exit (5 bars);3,845108097793265;14526,699261014077;Short;2;5;5
2025-09-16 20:00:00+02:00;3772,093994140625;2025-09-17 00:00:00+02:00;3808,8429487321255;2905,3398522028156;5,810679704405631;ATR stop;-34,11543628452431;14492,583824729552;Short;2;5;4
2025-09-17 05:00:00+02:00;3797,727783203125;2025-09-17 08:00:00+02:00;3830,4523476447175;2898,5167649459104;5,797033529891821;ATR stop;-30,773204565380553;14461,810620164171;Short;2;5;3
2025-09-17 10:00:00+02:00;3809,640380859375;2025-09-17 15:00:00+02:00;3796,359130859375;2892,3621240328343;5,784724248065669;Time exit (5 bars);4,298690620385941;14466,109310784557;Short;2;5;5
2025-09-17 20:00:00+02:00;3766,169189453125;2025-09-17 21:00:00+02:00;3809,4526659896387;2893,2218621569114;5,7864437243138225;ATR stop;-39,037392974361005;14427,071917810195;Short;2;5;1
2025-09-19 16:00:00+02:00;3824,14794921875;2025-09-19 21:00:00+02:00;3783,64208984375;2885,414383562039;5,770828767124078;Time exit (5 bars);24,79184579755728;14451,863763607753;Short;2;5;5
2025-09-20 10:00:00+02:00;3805,956298828125;2025-09-20 15:00:00+02:00;3806,2578125;2890,3727527215506;5,780745505443101;Time exit (5 bars);-6,0097252501734495;14445,85403835758;Short;2;5;5
